country,retailer,retailer_slug,product_family,brand,device_type,model,capacity_gb,product_code,offer_type,price_value,price_text,price_unit,term_months,in_stock,data_quality_tier,extracted_at,source_url,source_title,source_snapshot,source_snapshots
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,256,MHRV4QL_A,renting_no_insurance,20.99,20.99 EUR,EUR/month,36,True,santander_api_live,2026-03-21T07:58:08.636013+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRV4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,256,MHRV4QL_A,renting_with_insurance,22.99,22.99 EUR,EUR/month,36,True,santander_api_live,2026-03-21T07:58:08.636036+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRV4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,256,MHRV4QL_A,financing_max_term,26.81,26.81 EUR,EUR/month,30,True,santander_api_live,2026-03-21T07:58:08.636048+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRV4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,256,MHRV4QL_A,financing_max_term,31.1,31.10 EUR,EUR/month,24,True,santander_api_live,2026-03-21T07:58:08.636054+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRV4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,256,MHRV4QL_A,financing_max_term,40.33,40.33 EUR,EUR/month,18,True,santander_api_live,2026-03-21T07:58:08.636060+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRV4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,256,MHRV4QL_A,financing_max_term,59.08,59.08 EUR,EUR/month,12,True,santander_api_live,2026-03-21T07:58:08.636065+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRV4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,256,MHRV4QL_A,financing_max_term,118.17,118.17 EUR,EUR/month,6,True,santander_api_live,2026-03-21T07:58:08.636069+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRV4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,256,MHRV4QL_A,financing_max_term,236.33,236.33 EUR,EUR/month,3,True,santander_api_live,2026-03-21T07:58:08.636073+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRV4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,256,MHRV4QL_A,cash,709.0,709.00 EUR,EUR,,True,santander_api_live,2026-03-21T07:58:08.636078+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRV4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,512,MHRY4QL_A,renting_no_insurance,28.99,28.99 EUR,EUR/month,36,True,santander_api_live,2026-03-21T07:58:09.399780+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRY4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,512,MHRY4QL_A,renting_with_insurance,30.99,30.99 EUR,EUR/month,36,True,santander_api_live,2026-03-21T07:58:09.399796+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRY4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,512,MHRY4QL_A,financing_max_term,36.26,36.26 EUR,EUR/month,30,True,santander_api_live,2026-03-21T07:58:09.399806+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRY4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,512,MHRY4QL_A,financing_max_term,42.07,42.07 EUR,EUR/month,24,True,santander_api_live,2026-03-21T07:58:09.399811+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRY4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,512,MHRY4QL_A,financing_max_term,54.55,54.55 EUR,EUR/month,18,True,santander_api_live,2026-03-21T07:58:09.399815+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRY4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,512,MHRY4QL_A,financing_max_term,79.92,79.92 EUR,EUR/month,12,True,santander_api_live,2026-03-21T07:58:09.399819+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRY4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,512,MHRY4QL_A,financing_max_term,159.83,159.83 EUR,EUR/month,6,True,santander_api_live,2026-03-21T07:58:09.399825+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRY4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,512,MHRY4QL_A,financing_max_term,319.67,319.67 EUR,EUR/month,3,True,santander_api_live,2026-03-21T07:58:09.399830+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRY4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17e,512,MHRY4QL_A,cash,959.0,959.00 EUR,EUR,,True,santander_api_live,2026-03-21T07:58:09.399835+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17e/p/MHRY4QL_A,iPhone 17e,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,renting_no_insurance,33.99,33.99 EUR,EUR/month,36,True,santander_api_live,2026-03-21T07:58:10.838477+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,renting_with_insurance,37.99,37.99 EUR,EUR/month,36,True,santander_api_live,2026-03-21T07:58:10.838494+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,financing_max_term,49.87,49.87 EUR,EUR/month,30,True,santander_api_live,2026-03-21T07:58:10.838503+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,financing_max_term,57.87,57.87 EUR,EUR/month,24,True,santander_api_live,2026-03-21T07:58:10.838508+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,financing_max_term,75.03,75.03 EUR,EUR/month,18,True,santander_api_live,2026-03-21T07:58:10.838512+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone 17 Pro,256,MG8G4QL_A,financing_max_term,109.92,109.92 EUR,EUR/month,12,True,santander_api_live,2026-03-21T07:58:10.838517+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/IPHONE-17-PRO/p/MG8G4QL_A,iPhone 17 Pro,,
